epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6579,1.25947,5.36052,1.92625,0,0,0,0,0.34218,4.90386,0.89128,3.5e-05,3.5e-05,3.5e-05
2,141.504,0.46414,4.43624,1.26977,0,0,0,0,0.26181,4.71466,0.71296,6.53225e-05,6.53225e-05,6.53225e-05
3,210.009,0.28674,3.44669,1.12517,0.40909,1,0.97959,0.97959,0.21556,3.62164,0.61707,8.822e-05,8.822e-05,8.822e-05
4,279.669,0.21281,2.42282,1.04943,0.3913,1,0.995,0.995,0.25312,3.55797,0.67905,0.000103692,0.000103692,0.000103692
5,348.412,0.19339,2.02198,0.95564,0.922,1,0.995,0.96569,0.27753,3.5785,0.71417,0.00011174,0.00011174,0.00011174
6,417.165,0.18521,1.90036,0.94457,0.9894,1,0.995,0.995,0.23885,2.55835,0.64506,0.000112363,0.000112363,0.000112363
7,482.367,0.17031,1.87169,0.9543,0.99611,1,0.995,0.995,0.20243,1.72792,0.61283,0.0001015,0.0001015,0.0001015
8,549.964,0.13326,1.81579,0.92845,0.99704,1,0.995,0.995,0.23182,1.56616,0.65319,7.675e-05,7.675e-05,7.675e-05
9,616.653,0.13667,1.77413,0.91642,0.99729,1,0.995,0.995,0.20363,1.5669,0.61781,5.2e-05,5.2e-05,5.2e-05
10,682.606,0.12478,1.76161,0.92108,0.99752,1,0.995,0.995,0.18507,1.55908,0.5985,2.725e-05,2.725e-05,2.725e-05
